SOURCE	TARGET	Type	Language	Word	Source_Gloss	Target_Gloss	Direction
to calculate, count	to read	Polysemy	Sumerian	šid	calculate, count	read aloud, recite	—
to calculate, count	to read	Polysemy	Nahuatl	tlapōhua	count	read	—
to calculate, count	to read	Polysemy	Samoan	faitau	count	read	—
to calculate, count	to read	Polysemy	Koryak	йылӈык	to count	to read	—
to calculate, count	to read	Polysemy	Nganasan	туобталудя	to count	to read	—
to calculate, count	to read	Polysemy	Yoruba	kà	count	read	—
to calculate, count	to read	Polysemy	Mekeo	e-kuapi (-na)	count	read	—
to calculate, count	to read	Polysemy	Saamic	лōгкэ	to count	to read	—
to calculate, count	to read	Derivation	Old East Slavic	чисти	to count, to calculate	to read	—
to calculate, count	to read	Polysemy	Lak	bukːin	to count	to read	—
to calculate, count	to read	Polysemy	Udihe	таŋи-	to count	to read	→
to calculate, count	to read	Polysemy	Dami (Marik)	i-wese-ya	count	read	—
to calculate, count	to read	Polysemy	Takia	-siti	count	read	→
to calculate, count	to read	Polysemy	Motu	dulahi-a	count	read	—
to calculate, count	to read	Polysemy	Mari	luɗa	count	read	—
to calculate, count	to read	Polysemy	Estonian	lugema	count	read, consider	—
to calculate, count	to read	Polysemy	Itelmen	ањл̹нэ&#39;л̹кас	to count	to read	—
to calculate, count	to read	Polysemy	Lango	kwànnò, kwân	count	read	—
to calculate, count	to read	Polysemy	Maya	xok	count, number	read	—
to calculate, count	to read	Polysemy	Tolai (Kuanua)	luk	count	read	—
to calculate, count	to read	Polysemy	Navajo	ʻííníshtaʼ	count	read	—
to calculate, count	to read	Polysemy	Itelmen	л̹нэс	to count	to read	—
to calculate, count	to read	Derivation	Udmurt	лыдӟыны	to read	to calculate, count	→
to calculate, count	to have opinion	Polysemy	Fula	jatoo	to count	to think, to consider	—
to calculate, count	to have opinion	Polysemy	Swahili	kadiri	to count, to compute, to calculate	to suppose, to assume	—
to calculate, count	to have opinion	Polysemy	Kannada	eṇike	counting, number	thinking	→
to calculate, count	to have opinion	Polysemy	Nahuatl		count	think	→
to calculate, count	to have opinion	Polysemy	Swahili	hesabu	count	consider (as)	→
to calculate, count	to have opinion	Polysemy	Komi	artal-	count, calculate	think	→
to calculate, count	to have opinion	Polysemy	Bagvalal	b=is&#39;ĩ	&lt;кто: ERG; кого/что: NOM&gt;	&lt;who: ERG; whom/what: NOM; кем/with what: INTERESS&gt;	
to calculate, count	to have opinion	Polysemy	Nanaj	bodo-	to count, to reckon, to calculate	to regard as, to take smb for smth	—
to calculate, count	to have opinion	Polysemy	Lezgian	zi hisabdaldi	I reckon	to my opinion, I guess (that)	—
to calculate, count	to have opinion	Polysemy	Russian	sčitat&#39;	to count	to think, to believe	—
to calculate, count	to have opinion	Polysemy	German	zählen	to count	to be regarded as	—
to calculate, count	to have opinion	Polysemy	French	compter	to count	to have an opinion	—
to calculate, count	to have opinion	Polysemy	Mandarin Chinese	suàn	to count, to reckon, to calculate	to assume, to admit	—
to calculate, count	to have opinion	Polysemy	Macedonian	broi	to count	to think	—
to calculate, count	to have opinion	Polysemy	Latin	ratio	count, calculation	thought, reflection	—
to calculate, count	to have opinion	Polysemy	Geez	ḫʷallaḳʷa	count, number, enumerate	take account, review, impute, consider	—
to calculate, count	to have opinion	Polysemy	Tuvan	сана-	to count, to calculate	to think, to estimate, to admit	—
to calculate, count	to have opinion	Derivation	Latin	puto	to calculate	to have an opinion	—
to calculate, count	to have opinion	Polysemy	English	count	to find the number of smth.	to consider to be, to regard as	—
to calculate, count	to have opinion	Polysemy	Turkmen	са:й-	to count, to calculate	to regard as	→
to calculate, count	to have opinion	Derivation	Classical Arabic		to count	to believe, to think, to imagine	—
to calculate, count	to have opinion	Polysemy	Akkadian	manû	to count, to count and list	to consider a person, a region, an object as belonging to a specific class, region, or destination	—
to calculate, count	to have opinion	Polysemy	Italian	contare	to count	to have an opinion	—
to calculate, count	to have opinion	Polysemy	Yoruba	kà	count	regard as	→
to calculate, count	to have opinion	Derivation	Indonesian		count, calculate	calculate, take into consideration	→
to calculate, count	to have opinion	Polysemy	Manchu	bodo-	calculate	plan, consider	→
to calculate, count	to have opinion	Polysemy	Rapanui	tapa	count	consider, determine	→
to calculate, count	to have opinion	Polysemy	Telugu	ennu	count	think, esteem	→
to calculate, count	to have opinion	Polysemy	Hungarian	számol	count	take into account/consideration	→
to calculate, count	to have opinion	Polysemy	Estonian	arvama	reckon, count	think, consider	→
to calculate, count	to have opinion	Polysemy	Mongolian (Khalkha)	toolo-	calculate, count	consider	→
to calculate, count	to have opinion	Polysemy	Amharic	ḳʷäṭṭärä	to count, enumerate, calculate, reckon	to regard, consider as, ascribe, impute	→
to calculate, count	to have opinion	Polysemy	Sumerian	šár	calculate	consider carefully	→
to calculate, count	to have opinion	Polysemy	Balinese	(N)-ituŋ	calculate	think something other, weighing up the pros and cons	→
to calculate, count	to have opinion	Polysemy	Zulu	ɓala	count, calvulate	take into account, analyze	→
to calculate, count	to have opinion	Polysemy	Egyptian	jp	count, pay	consider, be reasonable	→
to calculate, count	to have opinion	Polysemy	Khmer	rɔap	count	consider	→
to calculate, count	to have opinion	Polysemy	Icelandic	telja	to count	to have opinion	→
to calculate, count	to have opinion	Polysemy	Norwegian	regne	to calculate	to consider as	→
to calculate, count	to have opinion	Polysemy	Swedish	räkna	to count	to consider as	→
to calculate, count	to have opinion	Polysemy	Danish	regne	to calculate	to consider as	→
to calculate, count	to have opinion	Polysemy	Hungarian	számít	to calculate, count	to consider	→
to calculate, count	to repeat	Polysemy	Nganasan	туобталудя	to count	to repeat	
to calculate, count	to prepare	Polysemy	Swahili	adidi	to count, to reckon	to prepare	
to respect	to treat, regale	Polysemy	Yakut	маанылаа-	to honour, to respect	to treat (colloq.)	→
to respect	to treat, regale	Polysemy	Russian		to rever, to honor, to worship	to wine and dine	
to respect	to treat, regale	Polysemy	Karaim	сыйла-	to esteem, to respect, to appreciate	to treat	
to respect	to treat, regale	Polysemy	Khakas	аарла-	to respect, to esteem, to honour	to treat, to wine and dine	
to find	to have opinion	Polysemy	Ancient Greek	εὑρίσκω	to find, to discover	to count	→
to find	to have opinion	Polysemy	Bagvalal	b=isã	to find	to have opinion	→
to find	to have opinion	Polysemy	French	trouver	to find	to have an opinion	
to find	to have opinion	Polysemy	German	finden	to find	to find, to count	
to find	to have opinion	Polysemy	English	find	to find	to find, to count	
to find	to have opinion	Polysemy	Russian	nahodit&#39;	to find	to find	
to find	to have opinion	Polysemy	Turkish	bul-	to find	to think	
to find	to have opinion	Polysemy	Norwegian	finne	to find	to have opinion	→
to find	to have opinion	Polysemy	Danish	finde	to find	to have opinion	→
to find	to have opinion	Polysemy	Swedish	finna	to find	to consider as	→
to find	to have opinion	Polysemy	Hungarian	talál	to find	to have opinion	→
to find	to get, obtain	Polysemy	Bezhta	jĩqal	who: DAT; what: NOM	who: DAT; what: NOM	
to find	to get, obtain	Polysemy	Negidal	баха-	to find	to get	
to find	to get, obtain	Polysemy	Tigrinya	räk̲äbä	‘to find, discover, strike (gold)’	‘to obtain, acquire, procure, gain, get’	→
to find	to get, obtain	Polysemy	Amharic	agäññä	to find, to discover, come across	to acquire, to procure, obtain, get	→
to find	to meet	Polysemy	Amharic	agäññä	to meet	to find, to discover, come across (s.th.)	—
to find	to meet	Polysemy	Evenki	бака-	to find	to meet	
to find	to meet	Derivation	Geez		&#39;find, get, acquire&#39; [LGz. 469]	&#39;meet one another&#39; (LGz. 469)	
to find	to meet	Polysemy	Tigrinya	räḵäbä	to encounter, to meet	to find, discover	—
to find	to meet	Polysemy	Akkadian	atû	to meet	to discover, to find by accident; to search for and find	—
to find	to meet	Polysemy	French	retrouver	to meet	to find	←
to find	to meet	Polysemy	Hungarian	talál	to meet	to find	—
to find	to learn, find out	Polysemy	Turkish	bul-	to find	to discover, to invent	
to find	to reach	Polysemy	Turkish	bul-	to find	to reach, to arrive	→
to find	to know	Polysemy	Sanskrit	upalabh	to find, to grasp, to reach	to perceive, to learn	
to find	to give birth	Polysemy	Udihe	ба’-	to find	to give birth	—
to find	to give birth	Polysemy	Osetin	aryn	to find	to give birth	—
to find	to be situated	Derivation	German		to find	to be situated	→
to find	to be situated	Derivation	French		to find	to be situated	—
to find	to be situated	Derivation	Maltese		to find	to be somewhere (=passive of a causative)	
to find	to be situated	Derivation	Russian		to find	to be	
to find	to be situated	Derivation	Amharic		to find, to discover, come across (s.th.)	to be found; to be situated, located	→
to find	to be situated	Derivation	Modern Written Arabic		to find	to be found, be ther, exist; to be	→
to find	bastard	Polysemy	Russian	nahodka	discovery, finding	bastard	→
to find	bastard	Polysemy	Yakut	булумньу	finding, prey	bastard	→
to find	bastard	Derivation	Evenki		to find, to discover, to come across	bastard	→
to find	to exist	Derivation	Geez		to find, to find again, to catch	to exist	→
to find	to exist	Derivation	Classical Arabic		to find	to exist	→
to taste	to try, to attempt	Polysemy	Swahili	onja	taste	try	→
to taste	to try, to attempt	Polysemy	Ponapean (Pohnpeian)	soŋ	taste	try, attempt	—
to taste	to try, to attempt	Polysemy	Finnish	maistaa	taste	try	—
to taste	to try, to attempt	Polysemy	Macedonian	obide	to try (a dish etc)	to try (fig.)	
to taste	to try, to attempt	Polysemy	Amharic	mokkärä	to eat, take a mouthful, begin to eat	to try, test, to try on, try out, give a trial; to attempt, make an attempt	←
to taste	to try, to attempt	Derivation	Old East Slavic		to taste	to impinge	—
to taste	to try, to attempt	Polysemy	German	probieren	&#39;durch eine Kostprobe den Geschmack von etw. pruerfen&#39; [Duden 3014]	&#39;versuchen, ob etw. moeglich, durchfuehbar ist&#39; [Dudeen 3014]	—
to taste	to try, to attempt	Polysemy	Russian	probovat&#39;	to try	to try	
to taste	to try, to attempt	Polysemy	Kilivila	-yosikola-	taste	try	—
to taste	to try, to attempt	Polysemy	Quechua	mal˜i-	taste	test, try	—
to taste	to try, to attempt	Polysemy	Japanese	tamesu	taste	test, try	—
to taste	to try, to attempt	Polysemy	Nahuatl	yecoa:tla	try or taste something (a dish, food)	do something, make an effort	—
to taste	to try, to attempt	Polysemy	Maya	tumtah	taste	try	—
to taste	to try, to attempt	Polysemy	Malagasy	manàndrana	taste	try	—
to taste	to try, to attempt	Polysemy	Timogon-Murut	kinam (maŋ- -in)	taste	try	—
to taste	to try, to attempt	Polysemy	Ngarinyin	argu	to taste	to try, to attempt	↔
to taste	to try, to attempt	Polysemy	Alyawarr	arrkerneyel	to taste	to try out	↔
to taste	to try, to attempt	Polysemy	Kukatja	yarrkala	to taste	to try	↔
to taste	to try, to attempt	Polysemy	Yidiñ	banja-L	to taste	to try (to do), to test	↔
to taste	to try, to attempt	Polysemy	Gugu-yimidjir	baadal	to taste	to try, to attempt	↔
to taste	to try, to attempt	Polysemy	Ngalakgan	many-ngu	to taste	to try, to attempt	↔
to taste	to try, to attempt	Polysemy	English	try	to taste	to try, to attempt	↔
to taste	to try, to attempt	Polysemy	Russian	пробовать	to taste	to try, to attempt	↔
to taste	to like	Polysemy	Italian	gustare	to taste	to like	—
to taste	to feel (an emotion)	Polysemy	Italian	assaggiare	to try	to feel, to experience	—
to taste	to feel (an emotion)	Polysemy	Mandarin Chinese	cháng	to taste	to feel, to experience, to taste	
to taste	to feel (an emotion)	Polysemy	English	taste	to taste	to experience, to taste	
to taste	to feel (an emotion)	Polysemy	Russian	vkusit&#39;	to taste	to taste	
to taste	to feel (an emotion)	Polysemy	Armenian	əmbošxnel	to eat, to taste	to experience	
to taste	to feel (an emotion)	Polysemy	Amharic	ḳämmäsä	to taste [K 702]	to feel, to experience [K 702]	
to taste	to feel (an emotion)	Polysemy	Geez	ṭəʕma, ṭaʕama	to taste, to be sweet	to feel, to experience [LGz. 582, LLA 1241f.]	
to taste	to feel (an emotion)	Polysemy	French	goûter	to try, to taste	to feel, to experience	—
to taste	to feel (an emotion)	Polysemy	Arabic	d̲āḳa	to taste	to feel, to taste	
to taste	to feel (an emotion)	Polysemy	Mongolian (Khalkha)	amsa-	to taste	to feel, to experience	→
to taste	to check, test	Polysemy	Russian	probovat&#39;	to taste	to subject to a test	—
to taste	to check, test	Polysemy	Arabic	d̲āḳa	to taste	to try, to test	→
to taste	to touch	Polysemy	Tigrinya	läḵäfä	&#39;to taste, appraise something with the sense of taste&#39;	&#39;to touch with the fingertip, to rub lightly, to barely elbow s.o.&#39;	—
to taste	to know	Polysemy	Latin	sapio	to taste	to be intelligent, show good sense, to know, understand	—
to taste	to know	Polysemy	Ancient Hebrew	ṭʕm	to taste, to try the taste of a dish	to feel, to observe, to learn smth. through experience	→
to taste	to know	Derivation	French		to taste	to know	—
to try, to attempt	to care for, look after	Polysemy	Tibetan	abad-pa	to attempt, to try, to strive	to care, to bring up	
to go, walk	to find	Polysemy	Lithuanian	apeíti	to go round	to find	—
to go, walk	to find	Derivation	English		to come	to find	
to go, walk	to find	Polysemy	Russian	najti	to come across	to find	→
to go, walk	to find	Derivation	Latin		to go, walk	to find	→
to go, walk	to find	Cognates			to come	to find what was sought	→
to go, walk	to find	Cognates			to come to somebody	to discover, to find by accident	—
to go, walk	to find	Derivation	Russian		walk slowly	to find, to get	→
to go, walk	to find	Polysemy	Norwegian	komme	to go, walk	to find by chance	→
to go, walk	to fall (of rain, snow)	Polysemy	Armenian	gal (գալ)	to to go (towards the speaker)	to rain, to snow	→
to go, walk	to fall (of rain, snow)	Polysemy	Russian	idti	to go	to fall (также to rain, to snow, to hail)	→
to go, walk	to fall (of rain, snow)	Polysemy	Sanskrit	kaṭ	to walk	to rain	→
to go, walk	to fall (of rain, snow)	Polysemy	Komi	мунны	to go, walk	to fall (of rain, snow)	→
to go, walk	to fall (of rain, snow)	Polysemy	Komi	петны	to go out	to fall (of rain, snow), to blow (of wind)	→
to go, walk	to fall (of rain, snow)	Polysemy	Meadow Mari	толаш	to go (here, towards the speaker)	to fall (of rain, snow)	→
to go, walk	to fall (of rain, snow)	Polysemy	Hill Mari	толаш	to go (here, towards the speaker)	to fall (of rain, snow)	→
to go, walk	to be alike	Derivation	Russian		to walk	to be similar	→
to go, walk	to be alike	Polysemy	Old Norse	ganga	to walk	to be alike	→
to go, walk	to suit (of clothes)	Polysemy	Russian		to go	to fit	
to go, walk	to suit (of clothes)	Polysemy	Yakut	бар-	to go (away)	to suit (clothes)	
to go, walk	to copulate	Polysemy	Geez	ḥora	go, go forth, proceed	have secual intercourse	→
to go, walk	to copulate	Polysemy	Soqotri	ʕod	to go, walk	to copulate	→
to think	to recall, recollect	Polysemy	Mandarin Chinese	xiăng	to think, to reflect, to ponder	to remember	—
to think	to recall, recollect	Polysemy	English	think	to have in the mind; to reflect, to ponder	to recall, recollect	→
to think	to recall, recollect	Derivation	German		think	recollection	→
to think	to recall, recollect	Polysemy	Burarra	borrwa-	to think, consider	to remember, recall	→
to think	to recall, recollect	Polysemy	Hungarian	gondol	to think	to remember	→
to think	to speak	Polysemy	Jarawara	ati na	say	think	—
to think	to speak	Polysemy	Aghul	aʁas	to think	to speak	←
to think	to speak	Cognates			to think	I am speaking	—
to think	to speak	Polysemy	Jarawara	nima na	to think about	to speak to, ask to do smth.	—
to think	to grieve (intr.)	Polysemy	Mandarin Chinese	xiăng	to think, to reflect, to ponder	to grieve, to be bored	—
to think	to grieve (intr.)	Polysemy	Turkish	düšün-	to think	to grieve, to sorrow	
to think	to care for, look after	Polysemy	Geez	ḫallaya	to think, to meditate, to consider, to reflect, to turn in one&#39;s mind	to care for, to take care of	→
to think	to care for, look after	Polysemy	Ancient Greek	φροντίζω	to think	to take care	→
to think	to care for, look after	Polysemy	Tabassaran	fikir ap’ub	to think (=to make a thought)	to take care for smn, smth	
to think	to intend	Polysemy	Mandarin Chinese	xiăng	to think, to reflect, to ponder	to strive for smth, to set about to	—
to think	to intend	Polysemy	Swahili	nuia	to believe, to suppose	to intend to do smth	—
to think	to intend	Polysemy	Geez	ḫallaya	to think, to meditate, to consider, to reflect, to turn in one&#39;s mind	to have in mind, to propose, to intend	→
to think	to intend	Polysemy	Tagalog	umisip, magisip	to think, to reason	to intend	—
to think	to intend	Polysemy	Russian	dumat&#39;	to think	to intend	→
to think	to intend	Polysemy	Amharic	assäbä	to think	to plan	→
to think	to intend	Polysemy	English	think	to think	to intend	→
to think	to intend	Polysemy	French	penser	to think	to intend	→
to think	to intend	Polysemy	Norwegian	tenke	to think	to intend	→
to think	to intend	Polysemy	Danish	tænke	to think	to intend, plan	→
to think	to intend	Polysemy	Swedish	tänka	to think	to intend	→
to think	to intend	Polysemy	Icelandic	hugsa	to think	to intend	→
to turn, rotate (intr.)	to become	Polysemy	Icelandic	umsnúa	to turn	to transform	—
to turn, rotate (intr.)	to become	Polysemy	Lezgian	elqːün	to spin, to swirl	to turn into	—
to turn, rotate (intr.)	to become	Polysemy	Swahili	pindua	to turn, to topple	to transform	—
to turn, rotate (intr.)	to become	Polysemy	Old English	awendan	to turn away/off, avert, remove, turn upside down	turn	→
to turn, rotate (intr.)	to become	Polysemy	Azeri	dön-	to turn (back), to roll over	to turn into	→
to turn, rotate (intr.)	to become	Polysemy	Latin	verto	to spin	to transform	
to turn, rotate (intr.)	to become	Polysemy	Russian	obernut&#39;sja	to turn	to turn into	
to turn, rotate (intr.)	to become	Cognates			to rotate, turn	to turn into, to become	—
to turn, rotate (intr.)	to become	Polysemy	Spanish	volver	to turn	to transform	
to turn, rotate (intr.)	to become	Polysemy	Azeri	çevir-	to turn	to transform	→
to turn, rotate (intr.)	to become	Cognates			to turn	to become	
to turn, rotate (intr.)	to become	Polysemy	Saamic	коаввсэ	to turn (back)	to become similar, to turn into	→
to turn, rotate (intr.)	to become	Semantic evolution		μετατρέπω	to turn back	to transform	→
to turn, rotate (intr.)	to become	Polysemy	English	turn	to turn, rotate (intr.)	to become	
to turn, rotate (intr.)	to become	Derivation	Russian		to spin, to rotate	to turn into	
to turn, rotate (intr.)	to become	Polysemy	Uzbek	aylan-	to spin, to go round, to turn	to turn into	
to turn, rotate (intr.)	to become	Polysemy	Armenian	dařnal	to turn (back)	to turn into, to become	—
to turn, rotate (intr.)	to become	Polysemy	Karaim	кайыр-	to turn, to rotate	to transform	
to turn, rotate (intr.)	to become	Polysemy	Tabassaran	ilt’i(b)k’ub	to spin, to roll	to transform	—
to turn, rotate (intr.)	shoulder-blade, scapula	Derivation	Tibetan		to turn	shoulder blade	
to turn, rotate (intr.)	to reincarnate	Polysemy	Tibetan	akhur-po	to turn, to spin, to go in circles	to reincarnate	—
to turn, rotate (intr.)	to return (intr.)	Polysemy	Portuguese	tornar	to spin	to return	
to turn, rotate (intr.)	to return (intr.)	Polysemy	Portuguese	voltar	to turn, to spin	to return	
to turn, rotate (intr.)	to return (intr.)	Polysemy	Portuguese	volver	to turn, to rotate	to return	
to turn, rotate (intr.)	to return (intr.)	Derivation	Russian		to spin, to rotate	to return	
to turn, rotate (intr.)	to return (intr.)	Derivation	English		to spin	to return	
to turn, rotate (intr.)	to return (intr.)	Polysemy	Armenian	dařnal	to turn (back)	to return	
to turn, rotate (intr.)	to return (intr.)	Derivation	French		to spin	to return	—
to turn, rotate (intr.)	to return (intr.)	Polysemy	Karaim	айлан-	to twist, to turn, to spin	to return, to turn back	
to turn, rotate (intr.)	to feel dizzy	Polysemy	Geez	ʔankolala	to spin, to roll [LGz. 283]	to feel dizzy	→
to turn, rotate (intr.)	to feel dizzy	Polysemy	Amharic	ʔazorä	to turn, to rotate [K 1665]	to make feel dizzy	→
to turn, rotate (intr.)	to feel dizzy	Polysemy	Sanskrit	bhramá	spinning, going round	dizziness	→
to turn, rotate (intr.)	to feel dizzy	Polysemy	Erzya	велямс	to spin	to feel dizzy	→
to turn, rotate (intr.)	to feel dizzy	Polysemy	Latin	vertigo	spinning, going round	dizziness	→
to turn, rotate (intr.)	to feel dizzy	Polysemy	Hindi	ghūm	to spin	to feel dizzy	→
to turn, rotate (intr.)	neck	Derivation			to turn	neck	
to turn, rotate (intr.)	to come (of an event)	Polysemy	Mandarin Chinese	zhuăn	to spin, to turn	to pass by (time)	—
to turn, rotate (intr.)	to come (of an event)	Polysemy	Karaim	айлан-	to turn, to spin	to pass by (time)	
to turn, rotate (intr.)	to coagulate, curdle	Derivation	Russian		to spin	to coagulate	
to turn, rotate (intr.)	to give up, stop doing	Polysemy	Karaim	кайт-	to turn back, to turn	to stop	
to turn, rotate (intr.)	quick	Polysemy	Polish	wartki	spinning, fidgety	quick, nimble	
to turn, rotate (intr.)	to address (someone), to speak (to someone)	Derivation	Russian		to spin, to rotate	to address (someone)	→
to turn, rotate (intr.)	to address (someone), to speak (to someone)	Polysemy	German		to turn around	to address (somebody); to apply to	→
to turn, rotate (intr.)	to address (someone), to speak (to someone)	Polysemy	Italian	rivolgersi	to turn	to address smn,	→
to turn, rotate (intr.)	to pass (of time)	Derivation	Ancient Greek		to turn	to pass by (time)	→
to become	can, to be able	Polysemy	Aghul	xas	to become	can, to be able	
to become	can, to be able	Polysemy	Udi	baksun	to be, to become	to be able	
to know	to know how, to be able	Polysemy	Mehri	ġərōb	to know	to know how (to do st.)	→
to know	to know how, to be able	Polysemy	Swahili	jua	to know	to be able of	—
to know	to know how, to be able	Polysemy	Farsi	дан-	to know, to be informed	to be able	
to know	to know how, to be able	Polysemy	Czech	umĕt	to know [Павлович 1976]	to be able of	
to know	to know how, to be able	Polysemy	French	savoir	to know	to be able of	—
to know	to know how, to be able	Polysemy	Tuvan	бил-	to know	to be able of	
to know	to know how, to be able	Polysemy	Macedonian	znae	to know	to be able of	
to know	to know how, to be able	Polysemy	Aghul		to know	to be able of	
to know	to know how, to be able	Polysemy	Bagvalal	b=ija	to know	to be able of	
to know	to know how, to be able	Polysemy	Ancient Greek	οἶδα	to know, be acquainted with [+accusative = something]	to know how to [+infinitive = do something]	→
to know	to know how, to be able	Polysemy	Amharic	awwäḳä	to know, be familiar with, be acquainted with, to know how to; to learn, acquire knowledge, become knowledgeable	to know how to	→
to know	to know how, to be able	Polysemy	Norwegian	kunne	to know	to know how, to be able	→
to know	to know how, to be able	Polysemy	Swedish	kunna	to have knowledge about	to know how, to be able	→
to know	to know how, to be able	Polysemy	Icelandic	kunna	to know	to know how, to be able	→
to know	to know how, to be able	Polysemy	Hungarian	tud	to know	to know how, to be able	→
to know	to copulate	Polysemy	Ancient Hebrew	ydʕ	to know, to learn (HALAT 373-374)	to have sexual relationship with smn (HALAT 373-374)	→
to know	to copulate	Polysemy	Akkadian	lamādu	to know (CAD l 53)	to have sexual relationship with smn (CAD l 53)	→
to know	to copulate	Polysemy	Geez	ʔaʔmara	&#39;to know&#39;	&#39;have sexual relations&#39;	→
to know	to understand	Polysemy	Sanskrit	jñā	to know	to understand	—
to know	to understand	Polysemy	Ancient Greek	γιγνώσκω	to know	to understand	
to know	to understand	Polysemy	English	know	to know	to understand	
to know	to understand	Derivation	Russian		to know	to be aware	
to know	to understand	Polysemy	Spanish	conocer	to know	to understand	
to know	to understand	Polysemy	Classical Arabic	šaʕara	to know	to understand	→
to know	to understand	Polysemy	Swahili	jua	to know	to understand	—
to know	to understand	Polysemy	Kunwinjku	bengkan	to know	to understand	→
to know	to understand	Polysemy	Yaqui (Hiaki)	him	to know	to realize	—
to know	noble	Derivation	Russian		to know	noble	
to know	noble	Derivation	Karaim		to know	distinguished, eminent	
to know	sign, designation	Derivation	Russian		to know	sign	—
to know	sign, designation	Derivation	Classical Arabic		to know	a sign, or mark	→
to know	sign, designation	Derivation	Arabic		to know	a mark, sign, token; a cognizance, a badge; an indication	→
to know	sign, designation	Derivation	Geez		to know	sign, signal, mark, notice, token	—
to know	to practice witchcraft	Derivation	Slovak		to know	sorcerer	→
to know	to practice witchcraft	Derivation	Tigrinya		to be shrewd, crafty, wise	wizard, magician, sorcerer	→
to know	to practice witchcraft	Derivation	Lithuanian		to know	sorcerer	→
to know	to practice witchcraft	Derivation	Ukrainian	мудрий (mudryj)	wise	sorcerer	→
to know	to practice witchcraft	Derivation	English		to know	to conjure	→
to know	to practice witchcraft	Polysemy	Komi	тӧдны	to know	to have the ability to foresight	→
to know	to practice witchcraft	Derivation	Komi		to know	wizard	→
to know	to practice witchcraft	Polysemy	Russian	знать (znat&#39;)	to know	to practice witchcraft, to be wizard (witch)	→
to know	to practice witchcraft	Derivation	Russian		to know	wizard, sorcerer	→
to know	to practice witchcraft	Polysemy	Sanskrit	vidyā	knowledge, science, learning, scholarship, philosophy	magical skill	→
to know	poetry	Polysemy	Classical Arabic	šiʕr-	knowledge	poetry; verse	→
to know how, to be able	can, to be able	Polysemy	Bulgarian	umeja	to know, to be able [Бернштейн 1986]	to know, to be able	
to search, to look for	to try, to attempt	Polysemy	Hungarian	keres	look for something, seek something	demand (something from someone)	→
